"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in weight"	"kselim"	"weight"	"weightfisher"
"1168"	"GO:0045766"	"positive regulation of angiogenesis"	138	7	6.77	1168	"0.54654"	"0.54654"	"0.51948"
"1169"	"GO:0045665"	"negative regulation of neuron differenti..."	423	23	20.75	1169	"0.57514"	"0.54667"	"0.80763"
"1172"	"GO:0071333"	"cellular response to glucose stimulus"	150	12	7.36	1172	"0.54749"	"0.54749"	"0.06465"
"1174"	"GO:0007608"	"sensory perception of smell"	258	14	12.66	1174	"0.74621"	"0.54832"	"0.21360"
"1176"	"GO:0072006"	"nephron development"	198	10	9.71	1176	"0.30608"	"0.54950"	"1.00000"
"1177"	"GO:0030278"	"regulation of ossification"	221	19	10.84	1177	"0.32277"	"0.55113"	"0.14350"
"1178"	"GO:0040011"	"locomotion"	3020	152	148.17	1178	"0.55738"	"0.55229"	"0.02683"
"1179"	"GO:1902107"	"positive regulation of leukocyte differe..."	124	8	6.08	1179	"0.55266"	"0.55266"	"0.26340"
"1181"	"GO:0010821"	"regulation of mitochondrion organization"	275	18	13.49	1181	"0.18418"	"0.55337"	"0.06149"
"1184"	"GO:0003158"	"endothelium development"	137	9	6.72	1184	"0.38239"	"0.55671"	"1.00000"
"1185"	"GO:0051098"	"regulation of binding"	464	24	22.77	1185	"0.57910"	"0.55687"	"1.00000"
"1188"	"GO:0007267"	"cell-cell signaling"	1864	98	91.45	1188	"0.85885"	"0.55879"	"0.60727"
"1192"	"GO:0035637"	"multicellular organismal signaling"	161	9	7.9	1192	"0.43516"	"0.56080"	"0.76639"
"1195"	"GO:0048589"	"developmental growth"	1658	92	81.35	1195	"0.73863"	"0.56213"	"0.42959"
"1200"	"GO:0002244"	"hematopoietic progenitor cell differenti..."	191	11	9.37	1200	"0.56471"	"0.56471"	"0.33590"
"1204"	"GO:0031098"	"stress-activated protein kinase signalin..."	371	21	18.2	1204	"0.06683"	"0.56843"	"0.39379"
"1205"	"GO:0042698"	"ovulation cycle"	114	6	5.59	1205	"0.56853"	"0.56853"	"0.49014"
"1208"	"GO:0048854"	"brain morphogenesis"	131	7	6.43	1208	"0.56924"	"0.56924"	"0.46415"
"1210"	"GO:0006816"	"calcium ion transport"	333	18	16.34	1210	"0.22853"	"0.56971"	"0.65302"
"1211"	"GO:0060419"	"heart growth"	146	9	7.16	1211	"0.01846"	"0.56976"	"0.26001"
"1212"	"GO:0046717"	"acid secretion"	133	11	6.53	1212	"0.57010"	"0.57010"	"0.06191"
"1215"	"GO:0060047"	"heart contraction"	282	14	13.84	1215	"0.52961"	"0.57137"	"0.61583"
"1216"	"GO:0006811"	"ion transport"	1221	77	59.91	1216	"0.62106"	"0.57174"	"0.08222"
"1217"	"GO:0009583"	"detection of light stimulus"	170	9	8.34	1217	"0.29775"	"0.57399"	"1.00000"
"1218"	"GO:0050805"	"negative regulation of synaptic transmis..."	160	11	7.85	1218	"0.57416"	"0.57416"	"0.16239"
"1220"	"GO:0048545"	"response to steroid hormone"	296	20	14.52	1220	"0.53104"	"0.57650"	"0.54857"
"1222"	"GO:0035966"	"response to topologically incorrect prot..."	239	16	11.73	1222	"0.19254"	"0.57663"	"0.25869"
"1223"	"GO:1903052"	"positive regulation of proteolysis invol..."	183	9	8.98	1223	"0.74862"	"0.57693"	"0.55337"
"1224"	"GO:0035220"	"wing disc development"	812	40	39.84	1224	"0.63978"	"0.57698"	"0.03841"
"1225"	"GO:0050921"	"positive regulation of chemotaxis"	119	7	5.84	1225	"0.57713"	"0.57713"	"0.36686"
"1226"	"GO:0006814"	"sodium ion transport"	211	12	10.35	1226	"0.30286"	"0.57719"	"0.17076"
"1232"	"GO:0051606"	"detection of stimulus"	565	30	27.72	1232	"0.53872"	"0.58054"	"0.61388"
"1234"	"GO:0014065"	"phosphatidylinositol 3-kinase signaling"	102	8	5	1234	"0.58143"	"0.58143"	"0.12731"
"1235"	"GO:0061333"	"renal tubule morphogenesis"	203	13	9.96	1235	"0.41890"	"0.58189"	"0.08289"
"1236"	"GO:0006082"	"organic acid metabolic process"	979	75	48.03	1236	"0.18254"	"0.58200"	"0.48071"
"1237"	"GO:0031016"	"pancreas development"	140	10	6.87	1237	"0.58272"	"0.58272"	"0.14949"
"1240"	"GO:0003073"	"regulation of systemic arterial blood pr..."	138	9	6.77	1240	"0.58303"	"0.58303"	"0.23631"
"1241"	"GO:0019226"	"transmission of nerve impulse"	105	7	5.15	1241	"0.58324"	"0.58324"	"0.25622"
"1242"	"GO:1901605"	"alpha-amino acid metabolic process"	275	23	13.49	1242	"0.14204"	"0.58403"	"0.03261"
"1243"	"GO:0035821"	"modification of morphology or physiology..."	121	6	5.94	1243	"0.01435"	"0.58466"	"1.00000"
"1245"	"GO:0046824"	"positive regulation of nucleocytoplasmic..."	180	14	8.83	1245	"0.04024"	"0.58512"	"0.64814"
"1248"	"GO:0007254"	"JNK cascade"	283	16	13.89	1248	"0.12555"	"0.58615"	"0.74138"
"1251"	"GO:0010977"	"negative regulation of neuron projection..."	285	18	13.98	1251	"0.58822"	"0.58822"	"0.16258"
"1253"	"GO:0043388"	"positive regulation of DNA binding"	108	6	5.3	1253	"0.58844"	"0.58844"	"0.43790"
"1258"	"GO:0043900"	"regulation of multi-organism process"	603	32	29.59	1258	"0.75732"	"0.58915"	"0.85220"
"1260"	"GO:0010631"	"epithelial cell migration"	513	28	25.17	1260	"0.14886"	"0.59095"	"1.00000"
"1261"	"GO:0010212"	"response to ionizing radiation"	181	11	8.88	1261	"0.59265"	"0.59265"	"0.27514"
"1266"	"GO:0042110"	"T cell activation"	345	23	16.93	1266	"0.33057"	"0.59431"	"0.77411"
"1267"	"GO:0060581"	"cell fate commitment involved in pattern..."	100	5	4.91	1267	"0.59491"	"0.59491"	"0.54790"
"1268"	"GO:0060485"	"mesenchyme development"	313	19	15.36	1268	"0.06644"	"0.59509"	"0.95206"
"1269"	"GO:0007507"	"heart development"	818	51	40.13	1269	"0.65337"	"0.59586"	"0.39211"
"1270"	"GO:0090407"	"organophosphate biosynthetic process"	541	35	26.54	1270	"0.02068"	"0.59650"	"0.25009"
"1272"	"GO:0061138"	"morphogenesis of a branching epithelium"	405	21	19.87	1272	"0.47562"	"0.59803"	"0.21904"
"1273"	"GO:0030308"	"negative regulation of cell growth"	237	17	11.63	1273	"0.59831"	"0.59831"	"0.07437"
"1274"	"GO:0055008"	"cardiac muscle tissue morphogenesis"	110	6	5.4	1274	"0.59850"	"0.59850"	"0.45545"
"1275"	"GO:0036473"	"cell death in response to oxidative stre..."	128	9	6.28	1275	"0.07257"	"0.59856"	"1.00000"
"1278"	"GO:0048546"	"digestive tract morphogenesis"	214	16	10.5	1278	"0.22444"	"0.60057"	"0.74022"
"1281"	"GO:0001822"	"kidney development"	338	18	16.58	1281	"0.28442"	"0.60192"	"0.55468"
"1282"	"GO:0061053"	"somite development"	148	10	7.26	1282	"0.38796"	"0.60195"	"0.09014"
"1283"	"GO:0043393"	"regulation of protein binding"	267	15	13.1	1283	"0.50373"	"0.60231"	"0.90001"
"1285"	"GO:0009894"	"regulation of catabolic process"	1036	54	50.83	1285	"0.90618"	"0.60278"	"0.45020"
"1287"	"GO:0001649"	"osteoblast differentiation"	262	16	12.85	1287	"0.47916"	"0.60321"	"0.78240"
"1288"	"GO:0045746"	"negative regulation of Notch signaling p..."	129	7	6.33	1288	"0.60358"	"0.60358"	"0.44806"
"1292"	"GO:1903530"	"regulation of secretion by cell"	725	50	35.57	1292	"0.12141"	"0.60671"	"1.00000"
"1293"	"GO:0060033"	"anatomical structure regression"	201	12	9.86	1293	"0.80196"	"0.60716"	"0.23897"
"1297"	"GO:0019730"	"antimicrobial humoral response"	185	10	9.08	1297	"0.61134"	"0.61134"	"0.42298"
"1303"	"GO:0098609"	"cell-cell adhesion"	800	46	39.25	1303	"0.13835"	"0.61225"	"0.38473"
"1304"	"GO:0071705"	"nitrogen compound transport"	2335	132	114.56	1304	"0.69623"	"0.61284"	"1.00000"
"1305"	"GO:0002121"	"inter-male aggressive behavior"	142	8	6.97	1305	"0.61353"	"0.61353"	"0.39612"
"1308"	"GO:1905475"	"regulation of protein localization to me..."	139	10	6.82	1308	"0.61465"	"0.61465"	"0.14471"
"1309"	"GO:0014031"	"mesenchymal cell development"	116	8	5.69	1309	"0.08916"	"0.61493"	"1.00000"
"1311"	"GO:0055080"	"cation homeostasis"	654	35	32.09	1311	"0.58689"	"0.61572"	"1.00000"
"1312"	"GO:0045445"	"myoblast differentiation"	107	7	5.25	1312	"0.61574"	"0.61574"	"0.27147"
"1317"	"GO:0010632"	"regulation of epithelial cell migration"	228	14	11.19	1317	"0.71528"	"0.61844"	"0.88897"
"1321"	"GO:0051480"	"regulation of cytosolic calcium ion conc..."	236	14	11.58	1321	"0.72160"	"0.61944"	"0.09034"
"1322"	"GO:0007219"	"Notch signaling pathway"	404	24	19.82	1322	"0.19955"	"0.61952"	"0.60742"
"1323"	"GO:0030178"	"negative regulation of Wnt signaling pat..."	189	17	9.27	1323	"0.61966"	"0.61966"	"0.39539"
"1324"	"GO:0061448"	"connective tissue development"	332	20	16.29	1324	"0.38695"	"0.62082"	"0.94148"
"1325"	"GO:0051017"	"actin filament bundle assembly"	188	11	9.22	1325	"0.07378"	"0.62112"	"0.95722"
"1326"	"GO:0045444"	"fat cell differentiation"	251	14	12.32	1326	"0.83913"	"0.62130"	"0.14477"
"1330"	"GO:0050877"	"nervous system process"	2256	122	110.69	1330	"0.76255"	"0.62393"	"0.65659"
"1337"	"GO:1903532"	"positive regulation of secretion by cell"	450	37	22.08	1337	"0.04989"	"0.62670"	"0.64695"
"1338"	"GO:0007265"	"Ras protein signal transduction"	446	28	21.88	1338	"0.11075"	"0.62675"	"0.30853"
"1343"	"GO:0071559"	"response to transforming growth factor b..."	282	22	13.84	1343	"0.62931"	"0.62931"	"1.00000"
"1344"	"GO:0008016"	"regulation of heart contraction"	223	11	10.94	1344	"0.68918"	"0.62951"	"0.73558"
"1346"	"GO:0009612"	"response to mechanical stimulus"	290	15	14.23	1346	"0.62984"	"0.62984"	"0.45468"
"1347"	"GO:0045639"	"positive regulation of myeloid cell diff..."	118	8	5.79	1347	"0.63227"	"0.63227"	"0.22235"
"1349"	"GO:0032436"	"positive regulation of proteasomal ubiqu..."	139	7	6.82	1349	"0.63440"	"0.63440"	"0.52723"
"1350"	"GO:0046620"	"regulation of organ growth"	239	14	11.73	1350	"0.13772"	"0.63582"	"0.63711"
"1352"	"GO:0002684"	"positive regulation of immune system pro..."	665	40	32.63	1352	"0.04025"	"0.63646"	"0.62041"
"1354"	"GO:0043085"	"positive regulation of catalytic activit..."	1084	57	53.19	1354	"0.19662"	"0.63795"	"0.30896"
"1355"	"GO:0043525"	"positive regulation of neuron apoptotic ..."	125	8	6.13	1355	"0.63808"	"0.63808"	"0.27045"
"1357"	"GO:0009892"	"negative regulation of metabolic process"	2608	128	127.96	1357	"0.93503"	"0.63878"	"1.00000"
"1358"	"GO:0050906"	"detection of stimulus involved in sensor..."	370	21	18.15	1358	"0.89508"	"0.63892"	"0.24691"
"1360"	"GO:0009636"	"response to toxic substance"	225	16	11.04	1360	"0.63912"	"0.63912"	"0.08661"
"1361"	"GO:0035019"	"somatic stem cell population maintenance"	104	6	5.1	1361	"0.63932"	"0.63932"	"0.40252"
"1364"	"GO:0050793"	"regulation of developmental process"	2925	153	143.51	1364	"0.49047"	"0.64053"	"0.32341"
"1365"	"GO:0000768"	"syncytium formation by plasma membrane f..."	128	8	6.28	1365	"0.03582"	"0.64061"	"0.55190"
"1366"	"GO:0032270"	"positive regulation of cellular protein ..."	1403	70	68.84	1366	"0.77344"	"0.64102"	"1.00000"
"1367"	"GO:1905114"	"cell surface receptor signaling pathway ..."	675	38	33.12	1367	"0.83565"	"0.64195"	"1.00000"
"1368"	"GO:0015696"	"ammonium transport"	144	10	7.07	1368	"0.64279"	"0.64279"	"0.16940"
"1369"	"GO:0032101"	"regulation of response to external stimu..."	758	49	37.19	1369	"0.01939"	"0.64302"	"0.42009"
"1371"	"GO:0046883"	"regulation of hormone secretion"	312	28	15.31	1371	"0.11303"	"0.64331"	"1.00000"
"1374"	"GO:0042692"	"muscle cell differentiation"	752	44	36.9	1374	"0.31468"	"0.64438"	"0.73146"
"1377"	"GO:0001657"	"ureteric bud development"	153	8	7.51	1377	"0.25903"	"0.64503"	"0.59044"
"1378"	"GO:2001242"	"regulation of intrinsic apoptotic signal..."	196	12	9.62	1378	"0.45684"	"0.64508"	"0.57246"
"1379"	"GO:0045927"	"positive regulation of growth"	916	53	44.94	1379	"0.02629"	"0.64584"	"0.36958"
"1380"	"GO:0055076"	"transition metal ion homeostasis"	174	10	8.54	1380	"0.71135"	"0.64586"	"0.33022"
"1382"	"GO:0048659"	"smooth muscle cell proliferation"	158	10	7.75	1382	"0.45969"	"0.64628"	"1.00000"
"1385"	"GO:0046578"	"regulation of Ras protein signal transdu..."	299	19	14.67	1385	"0.14264"	"0.64769"	"0.67526"
"1386"	"GO:0000302"	"response to reactive oxygen species"	295	16	14.47	1386	"0.06283"	"0.64776"	"0.30543"
"1392"	"GO:1903708"	"positive regulation of hemopoiesis"	178	10	8.73	1392	"0.43922"	"0.65114"	"1.00000"
"1395"	"GO:0035148"	"tube formation"	300	16	14.72	1395	"0.50244"	"0.65221"	"0.89536"
"1396"	"GO:0002700"	"regulation of production of molecular me..."	137	8	6.72	1396	"0.65249"	"0.65249"	"0.35843"
"1397"	"GO:0072175"	"epithelial tube formation"	223	14	10.94	1397	"0.40169"	"0.65344"	"1.00000"
"1400"	"GO:0043087"	"regulation of GTPase activity"	350	18	17.17	1400	"0.20230"	"0.65800"	"0.55580"
"1401"	"GO:0090092"	"regulation of transmembrane receptor pro..."	324	21	15.9	1401	"0.06784"	"0.65849"	"0.44964"
"1406"	"GO:0007368"	"determination of left/right symmetry"	253	14	12.41	1406	"0.57545"	"0.65996"	"0.69802"
"1413"	"GO:0010952"	"positive regulation of peptidase activit..."	179	14	8.78	1413	"0.38640"	"0.66287"	"1.00000"
"1414"	"GO:0045860"	"positive regulation of protein kinase ac..."	407	21	19.97	1414	"0.58526"	"0.66313"	"0.77810"
"1419"	"GO:1901701"	"cellular response to oxygen-containing c..."	997	54	48.92	1419	"0.16198"	"0.66529"	"0.50623"
"1420"	"GO:0030029"	"actin filament-based process"	1041	55	51.08	1420	"0.22853"	"0.66538"	"1.00000"
"1425"	"GO:0002758"	"innate immune response-activating signal..."	151	9	7.41	1425	"0.22839"	"0.66657"	"1.00000"
"1427"	"GO:0042326"	"negative regulation of phosphorylation"	558	28	27.38	1427	"0.02471"	"0.66755"	"0.66921"
"1429"	"GO:0031323"	"regulation of cellular metabolic process"	4147	204	203.47	1429	"0.98009"	"0.66908"	"1.00000"
"1432"	"GO:0007264"	"small GTPase mediated signal transductio..."	491	30	24.09	1432	"0.10467"	"0.67183"	"0.66435"
"1433"	"GO:0030036"	"actin cytoskeleton organization"	945	48	46.37	1433	"0.36519"	"0.67231"	"0.47091"
"1435"	"GO:0001947"	"heart looping"	106	8	5.2	1435	"0.67396"	"0.67396"	"0.14875"
"1436"	"GO:0001837"	"epithelial to mesenchymal transition"	174	13	8.54	1436	"0.09990"	"0.67428"	"0.20963"
"1439"	"GO:0010811"	"positive regulation of cell-substrate ad..."	113	7	5.54	1439	"0.67554"	"0.67554"	"0.31853"
"1440"	"GO:0010950"	"positive regulation of endopeptidase act..."	174	14	8.54	1440	"0.43565"	"0.67719"	"0.19871"
"1442"	"GO:0006461"	"protein complex assembly"	1536	87	75.36	1442	"0.59347"	"0.67734"	"0.29118"
"1443"	"GO:0048015"	"phosphatidylinositol-mediated signaling"	134	9	6.57	1443	"0.71028"	"0.67832"	"0.79836"
"1445"	"GO:0010822"	"positive regulation of mitochondrion org..."	195	10	9.57	1445	"0.11229"	"0.67893"	"0.38567"
"1446"	"GO:0042098"	"T cell proliferation"	146	9	7.16	1446	"0.68009"	"0.68009"	"0.28856"
"1447"	"GO:0006650"	"glycerophospholipid metabolic process"	254	15	12.46	1447	"0.37148"	"0.68011"	"0.62725"
"1449"	"GO:0061572"	"actin filament bundle organization"	192	11	9.42	1449	"0.08669"	"0.68218"	"1.00000"
"1452"	"GO:0007034"	"vacuolar transport"	205	13	10.06	1452	"0.82617"	"0.68287"	"0.09691"
"1455"	"GO:0009063"	"cellular amino acid catabolic process"	120	7	5.89	1455	"0.65448"	"0.68342"	"1.00000"
"1457"	"GO:0061387"	"regulation of extent of cell growth"	227	14	11.14	1457	"0.44689"	"0.68583"	"0.47823"
"1458"	"GO:0031103"	"axon regeneration"	103	7	5.05	1458	"0.68601"	"0.68601"	"0.24122"
"1460"	"GO:0090287"	"regulation of cellular response to growt..."	374	22	18.35	1460	"0.22573"	"0.68876"	"0.81744"
"1461"	"GO:0035272"	"exocrine system development"	364	20	17.86	1461	"0.87687"	"0.68950"	"0.13251"
"1463"	"GO:0060538"	"skeletal muscle organ development"	375	26	18.4	1463	"0.25555"	"0.69023"	"0.98148"
"1466"	"GO:1901216"	"positive regulation of neuron death"	163	9	8	1466	"0.79694"	"0.69247"	"0.85152"
"1467"	"GO:0032410"	"negative regulation of transporter activ..."	105	8	5.15	1467	"0.69272"	"0.69272"	"0.14323"
"1471"	"GO:0045732"	"positive regulation of protein catabolic..."	280	16	13.74	1471	"0.92072"	"0.69543"	"0.11273"
"1472"	"GO:0007431"	"salivary gland development"	338	17	16.58	1472	"0.93231"	"0.69593"	"0.21995"
"1473"	"GO:0090087"	"regulation of peptide transport"	994	62	48.77	1473	"0.39508"	"0.69630"	"0.19223"
"1474"	"GO:0002064"	"epithelial cell development"	788	41	38.66	1474	"0.33660"	"0.69642"	"0.29757"
"1475"	"GO:0014033"	"neural crest cell differentiation"	117	8	5.74	1475	"0.14158"	"0.69698"	"1.00000"
"1479"	"GO:0043113"	"receptor clustering"	114	6	5.59	1479	"0.69802"	"0.69802"	"0.49014"
"1481"	"GO:0035150"	"regulation of tube size"	248	17	12.17	1481	"0.45714"	"0.69850"	"0.39231"
"1482"	"GO:0198738"	"cell-cell signaling by wnt"	551	30	27.03	1482	"0.89686"	"0.69897"	"0.18141"
"1483"	"GO:0097305"	"response to alcohol"	382	19	18.74	1483	"0.32608"	"0.69942"	"0.67755"
"1486"	"GO:0055072"	"iron ion homeostasis"	117	7	5.74	1486	"0.70027"	"0.70027"	"0.35066"
"1490"	"GO:0030048"	"actin filament-based movement"	172	13	8.44	1490	"0.19112"	"0.70116"	"0.51261"
"1492"	"GO:0048518"	"positive regulation of biological proces..."	4518	225	221.67	1492	"0.88043"	"0.70199"	"0.44900"
"1494"	"GO:0055001"	"muscle cell development"	447	23	21.93	1494	"0.65067"	"0.70365"	"1.00000"
"1495"	"GO:0023056"	"positive regulation of signaling"	1668	91	81.84	1495	"0.32394"	"0.70389"	"0.37339"
"1498"	"GO:0002831"	"regulation of response to biotic stimulu..."	234	15	11.48	1498	"0.47978"	"0.70437"	"0.61818"
"1503"	"GO:0050708"	"regulation of protein secretion"	408	31	20.02	1503	"0.27348"	"0.70574"	"0.65972"
"1505"	"GO:0000165"	"MAPK cascade"	775	41	38.02	1505	"0.11378"	"0.70656"	"1.00000"
"1510"	"GO:0016032"	"viral process"	358	18	17.56	1510	"0.60506"	"0.71038"	"0.93015"
"1513"	"GO:0003208"	"cardiac ventricle morphogenesis"	116	6	5.69	1513	"0.71052"	"0.71052"	"0.50722"
"1514"	"GO:0002791"	"regulation of peptide secretion"	461	37	22.62	1514	"0.12941"	"0.71061"	"1.00000"
"1515"	"GO:0043473"	"pigmentation"	313	23	15.36	1515	"0.10943"	"0.71092"	"0.43894"
"1517"	"GO:0016125"	"sterol metabolic process"	188	11	9.22	1517	"0.41326"	"0.71262"	"0.68738"
"1520"	"GO:0050830"	"defense response to Gram-positive bacter..."	108	8	5.3	1520	"0.71328"	"0.71328"	"0.16010"
"1522"	"GO:0042493"	"response to drug"	341	20	16.73	1522	"0.71455"	"0.71455"	"0.23392"
"1525"	"GO:0006979"	"response to oxidative stress"	629	40	30.86	1525	"0.14671"	"0.71643"	"0.08845"
"1531"	"GO:1901652"	"response to peptide"	410	21	20.12	1531	"0.56407"	"0.71847"	"0.72917"
"1534"	"GO:0048660"	"regulation of smooth muscle cell prolife..."	156	10	7.65	1534	"0.42611"	"0.71913"	"0.61471"
"1536"	"GO:0006165"	"nucleoside diphosphate phosphorylation"	117	6	5.74	1536	"0.32546"	"0.71949"	"0.50586"
"1537"	"GO:1902742"	"apoptotic process involved in developmen..."	129	8	6.33	1537	"0.71971"	"0.71971"	"0.29918"
"1540"	"GO:0030001"	"metal ion transport"	675	41	33.12	1540	"0.23081"	"0.72110"	"0.16169"
"1544"	"GO:0051101"	"regulation of DNA binding"	179	12	8.78	1544	"0.51073"	"0.72177"	"0.13356"
"1547"	"GO:0019752"	"carboxylic acid metabolic process"	906	71	44.45	1547	"0.19201"	"0.72355"	"0.40249"
"1550"	"GO:0006582"	"melanin metabolic process"	116	9	5.69	1550	"0.72484"	"0.72484"	"0.11578"
"1554"	"GO:0006171"	"cAMP biosynthetic process"	113	6	5.54	1554	"0.79280"	"0.72529"	"1.00000"
"1557"	"GO:0060537"	"muscle tissue development"	521	39	25.56	1557	"0.21250"	"0.72757"	"1.00000"
"1558"	"GO:0097746"	"regulation of blood vessel diameter"	104	8	5.1	1558	"0.72777"	"0.72777"	"0.13782"
"1559"	"GO:0030317"	"flagellated sperm motility"	145	10	7.11	1559	"0.72780"	"0.72780"	"0.17456"
"1570"	"GO:0007186"	"G-protein coupled receptor signaling pat..."	462	27	22.67	1570	"0.60764"	"0.73163"	"0.28361"
"1571"	"GO:0034504"	"protein localization to nucleus"	543	31	26.64	1571	"0.04227"	"0.73185"	"0.61743"
"1572"	"GO:0007159"	"leukocyte cell-cell adhesion"	221	14	10.84	1572	"0.14180"	"0.73218"	"0.52762"
"1573"	"GO:0009615"	"response to virus"	241	17	11.82	1573	"0.68080"	"0.73251"	"0.27805"
"1575"	"GO:0048636"	"positive regulation of muscle organ deve..."	136	9	6.67	1575	"0.12750"	"0.73302"	"1.00000"
"1579"	"GO:0050953"	"sensory perception of light stimulus"	186	13	9.13	1579	"0.51779"	"0.73552"	"1.00000"
"1580"	"GO:0002067"	"glandular epithelial cell differentiatio..."	102	7	5	1580	"0.73559"	"0.73559"	"0.23383"
"1582"	"GO:0019915"	"lipid storage"	504	25	24.73	1582	"0.37811"	"0.73676"	"0.62379"
"1583"	"GO:2000177"	"regulation of neural precursor cell prol..."	193	10	9.47	1583	"0.70538"	"0.73698"	"0.87253"
"1588"	"GO:0046942"	"carboxylic acid transport"	311	26	15.26	1588	"0.68911"	"0.73878"	"1.00000"
"1591"	"GO:0009060"	"aerobic respiration"	115	7	5.64	1591	"0.74092"	"0.74092"	"0.33454"
"1594"	"GO:0007169"	"transmembrane receptor protein tyrosine ..."	690	37	33.85	1594	"0.81539"	"0.74223"	"0.14798"
"1595"	"GO:0006790"	"sulfur compound metabolic process"	371	26	18.2	1595	"0.58420"	"0.74247"	"0.07486"
"1596"	"GO:0051222"	"positive regulation of protein transport"	605	42	29.68	1596	"0.20236"	"0.74264"	"0.15869"
"1598"	"GO:0023051"	"regulation of signaling"	2836	149	139.15	1598	"0.66314"	"0.74350"	"1.00000"
"1602"	"GO:0009743"	"response to carbohydrate"	249	18	12.22	1602	"0.22107"	"0.74622"	"0.16302"
"1603"	"GO:0006733"	"oxidoreduction coenzyme metabolic proces..."	202	12	9.91	1603	"0.21146"	"0.74648"	"1.00000"
"1604"	"GO:0051146"	"striated muscle cell differentiation"	590	39	28.95	1604	"0.14067"	"0.74679"	"1.00000"
"1608"	"GO:0061061"	"muscle structure development"	1140	62	55.93	1608	"0.74554"	"0.74822"	"1.00000"
"1610"	"GO:0060341"	"regulation of cellular localization"	1190	63	58.39	1610	"0.37651"	"0.74940"	"0.67056"
"1611"	"GO:0009611"	"response to wounding"	659	36	32.33	1611	"0.46776"	"0.74949"	"0.45518"
"1613"	"GO:0030004"	"cellular monovalent inorganic cation hom..."	135	9	6.62	1613	"0.15536"	"0.75124"	"0.68389"
"1614"	"GO:0046545"	"development of primary female sexual cha..."	153	8	7.51	1614	"0.88251"	"0.75283"	"1.00000"
"1615"	"GO:0030162"	"regulation of proteolysis"	710	43	34.84	1615	"0.11873"	"0.75330"	"0.88546"
"1616"	"GO:0071310"	"cellular response to organic substance"	1815	101	89.05	1616	"0.42321"	"0.75352"	"0.84189"
"1617"	"GO:0009267"	"cellular response to starvation"	290	18	14.23	1617	"0.75387"	"0.75387"	"0.18068"
"1621"	"GO:0003008"	"system process"	2750	155	134.93	1621	"0.47638"	"0.75487"	"1.00000"
"1622"	"GO:0048640"	"negative regulation of developmental gro..."	262	18	12.85	1622	"0.75566"	"0.75566"	"0.09301"
"1624"	"GO:1903829"	"positive regulation of cellular protein ..."	522	32	25.61	1624	"0.09773"	"0.75588"	"0.35550"
"1625"	"GO:0032872"	"regulation of stress-activated MAPK casc..."	313	18	15.36	1625	"0.13093"	"0.75829"	"1.00000"
"1626"	"GO:0001817"	"regulation of cytokine production"	426	30	20.9	1626	"0.22895"	"0.75841"	"0.50644"
"1627"	"GO:0014706"	"striated muscle tissue development"	504	39	24.73	1627	"0.15863"	"0.75909"	"1.00000"
"1628"	"GO:1901654"	"response to ketone"	182	11	8.93	1628	"0.49156"	"0.75918"	"0.82588"
"1630"	"GO:0007043"	"cell-cell junction assembly"	178	9	8.73	1630	"0.86122"	"0.76093"	"0.85202"
"1632"	"GO:0051291"	"protein heterooligomerization"	245	13	12.02	1632	"0.76118"	"0.76118"	"0.42638"
"1635"	"GO:0030218"	"erythrocyte differentiation"	147	9	7.21	1635	"0.76279"	"0.76279"	"0.29531"
"1636"	"GO:0045087"	"innate immune response"	638	37	31.3	1636	"0.23348"	"0.76349"	"0.15475"
"1637"	"GO:0043436"	"oxoacid metabolic process"	965	74	47.35	1637	"0.18960"	"0.76442"	"0.51050"
"1638"	"GO:0060350"	"endochondral bone morphogenesis"	104	7	5.1	1638	"0.76442"	"0.76442"	"0.24868"
"1639"	"GO:0009141"	"nucleoside triphosphate metabolic proces..."	352	19	17.27	1639	"0.19727"	"0.76459"	"0.14806"
"1641"	"GO:0006869"	"lipid transport"	292	21	14.33	1641	"0.30465"	"0.76494"	"0.26159"
"1642"	"GO:2000278"	"regulation of DNA biosynthetic process"	138	8	6.77	1642	"0.76521"	"0.76521"	"0.36594"
"1643"	"GO:0035249"	"synaptic transmission, glutamatergic"	123	7	6.03	1643	"0.76627"	"0.76627"	"0.39939"
"1645"	"GO:0051607"	"defense response to virus"	186	13	9.13	1645	"0.71216"	"0.76693"	"0.57926"
"1646"	"GO:0048762"	"mesenchymal cell differentiation"	252	18	12.36	1646	"0.07045"	"0.76724"	"0.57032"
"1648"	"GO:0002793"	"positive regulation of peptide secretion"	276	26	13.54	1648	"0.18409"	"0.76864"	"0.28978"
"1649"	"GO:0006954"	"inflammatory response"	384	24	18.84	1649	"0.24480"	"0.76898"	"0.75282"
"1654"	"GO:0030111"	"regulation of Wnt signaling pathway"	391	26	19.18	1654	"0.85070"	"0.77243"	"0.30528"
"1655"	"GO:0050728"	"negative regulation of inflammatory resp..."	114	8	5.59	1655	"0.77288"	"0.77288"	"0.19642"
"1656"	"GO:0006937"	"regulation of muscle contraction"	214	12	10.5	1656	"0.73421"	"0.77306"	"0.21318"
"1658"	"GO:0032880"	"regulation of protein localization"	1228	69	60.25	1658	"0.43345"	"0.77402"	"0.52616"
"1662"	"GO:0050679"	"positive regulation of epithelial cell p..."	196	14	9.62	1662	"0.77508"	"0.77508"	"0.10129"
